CustomerID,CustomerName,Industry,CompanySize,CustomerTier,Customerdate
CUST-0001,Financial Services Corp 1,Financial Services,SMB,Bronze,1/13/2020
CUST-0002,Technology Corp 2,Technology,Enterprise,Platinum,1/14/2020
CUST-0003,Retail Corp 3,Retail,SMB,Silver,1/15/2020
CUST-0004,Financial Services Corp 4,Financial Services,SMB,Silver,1/16/2020
CUST-0005,Healthcare Corp 5,Healthcare,Enterprise,Silver,1/17/2020
CUST-0006,Financial Services Corp 6,Financial Services,SMB,Bronze,1/18/2020
CUST-0007,Retail Corp 7,Retail,Mid-Market,Platinum,1/19/2020
CUST-0008,Healthcare Corp 8,Healthcare,SMB,Gold,1/20/2020
CUST-0009,Financial Services Corp 9,Financial Services,Mid-Market,Silver,1/21/2020
CUST-0010,Energy Corp 10,Energy,SMB,Bronze,1/22/2020
CUST-0011,Retail Corp 11,Retail,SMB,Gold,1/23/2020
CUST-0012,Manufacturing Corp 12,Manufacturing,Enterprise,Platinum,1/24/2020
CUST-0013,Energy Corp 13,Energy,Mid-Market,Platinum,1/25/2020
CUST-0014,Retail Corp 14,Retail,SMB,Platinum,1/26/2020
CUST-0015,Financial Services Corp 15,Financial Services,SMB,Platinum,1/27/2020
CUST-0016,Technology Corp 16,Technology,Mid-Market,Gold,1/28/2020
CUST-0017,Financial Services Corp 17,Financial Services,Mid-Market,Bronze,1/29/2020
CUST-0018,Retail Corp 18,Retail,SMB,Gold,1/30/2020
CUST-0019,Financial Services Corp 19,Financial Services,Mid-Market,Platinum,1/31/2020
CUST-0020,Retail Corp 20,Retail,Mid-Market,Bronze,2/1/2020
CUST-0021,Retail Corp 21,Retail,Enterprise,Silver,2/2/2020
CUST-0022,Retail Corp 22,Retail,Enterprise,Platinum,2/3/2020
CUST-0023,Energy Corp 23,Energy,Enterprise,Bronze,2/4/2020
CUST-0024,Energy Corp 24,Energy,Enterprise,Silver,2/5/2020
CUST-0025,Energy Corp 25,Energy,Mid-Market,Platinum,2/6/2020
CUST-0026,Energy Corp 26,Energy,Enterprise,Gold,2/7/2020
CUST-0027,Healthcare Corp 27,Healthcare,Mid-Market,Platinum,2/8/2020
CUST-0028,Technology Corp 28,Technology,SMB,Platinum,2/9/2020
CUST-0029,Healthcare Corp 29,Healthcare,SMB,Gold,2/10/2020
CUST-0030,Energy Corp 30,Energy,Enterprise,Bronze,2/11/2020
CUST-0031,Energy Corp 31,Energy,SMB,Bronze,2/12/2020
CUST-0032,Manufacturing Corp 32,Manufacturing,SMB,Silver,2/13/2020
CUST-0033,Technology Corp 33,Technology,Enterprise,Platinum,2/14/2020
CUST-0034,Energy Corp 34,Energy,SMB,Silver,2/15/2020
CUST-0035,Financial Services Corp 35,Financial Services,SMB,Platinum,2/16/2020
CUST-0036,Healthcare Corp 36,Healthcare,Mid-Market,Silver,2/17/2020
CUST-0037,Energy Corp 37,Energy,Mid-Market,Silver,2/18/2020
CUST-0038,Manufacturing Corp 38,Manufacturing,Mid-Market,Gold,2/19/2020
CUST-0039,Healthcare Corp 39,Healthcare,SMB,Bronze,2/20/2020
CUST-0040,Retail Corp 40,Retail,Enterprise,Bronze,2/21/2020
CUST-0041,Healthcare Corp 41,Healthcare,Mid-Market,Gold,2/22/2020
CUST-0042,Energy Corp 42,Energy,SMB,Gold,2/23/2020
CUST-0043,Manufacturing Corp 43,Manufacturing,SMB,Platinum,2/24/2020
CUST-0044,Financial Services Corp 44,Financial Services,Mid-Market,Platinum,2/25/2020
CUST-0045,Manufacturing Corp 45,Manufacturing,SMB,Gold,2/26/2020
CUST-0046,Retail Corp 46,Retail,Mid-Market,Gold,2/27/2020
CUST-0047,Healthcare Corp 47,Healthcare,Enterprise,Bronze,2/28/2020
CUST-0048,Retail Corp 48,Retail,SMB,Bronze,2/29/2020
CUST-0049,Manufacturing Corp 49,Manufacturing,Enterprise,Silver,3/1/2020
CUST-0050,Retail Corp 50,Retail,Enterprise,Gold,3/2/2020
CUST-0051,Technology Corp 51,Technology,SMB,Silver,3/3/2020
CUST-0052,Healthcare Corp 52,Healthcare,SMB,Platinum,3/4/2020
CUST-0053,Technology Corp 53,Technology,SMB,Silver,3/5/2020
CUST-0054,Healthcare Corp 54,Healthcare,SMB,Silver,3/6/2020
CUST-0055,Healthcare Corp 55,Healthcare,Enterprise,Bronze,3/7/2020
CUST-0056,Healthcare Corp 56,Healthcare,Mid-Market,Platinum,3/8/2020
CUST-0057,Retail Corp 57,Retail,Enterprise,Gold,3/9/2020
CUST-0058,Financial Services Corp 58,Financial Services,Enterprise,Bronze,3/10/2020
CUST-0059,Financial Services Corp 59,Financial Services,Enterprise,Bronze,3/11/2020
CUST-0060,Technology Corp 60,Technology,SMB,Platinum,3/12/2020
CUST-0061,Manufacturing Corp 61,Manufacturing,Enterprise,Gold,3/13/2020
CUST-0062,Retail Corp 62,Retail,Enterprise,Bronze,3/14/2020
CUST-0063,Manufacturing Corp 63,Manufacturing,Enterprise,Platinum,3/15/2020
CUST-0064,Financial Services Corp 64,Financial Services,Enterprise,Bronze,3/16/2020
CUST-0065,Technology Corp 65,Technology,Enterprise,Bronze,3/17/2020
CUST-0066,Energy Corp 66,Energy,Enterprise,Platinum,3/18/2020
CUST-0067,Retail Corp 67,Retail,Enterprise,Platinum,3/19/2020
CUST-0068,Energy Corp 68,Energy,Enterprise,Bronze,3/20/2020
CUST-0069,Manufacturing Corp 69,Manufacturing,Enterprise,Platinum,3/21/2020
CUST-0070,Manufacturing Corp 70,Manufacturing,Enterprise,Bronze,3/22/2020
CUST-0071,Manufacturing Corp 71,Manufacturing,Enterprise,Silver,3/23/2020
CUST-0072,Healthcare Corp 72,Healthcare,SMB,Bronze,3/24/2020
CUST-0073,Manufacturing Corp 73,Manufacturing,SMB,Gold,3/25/2020
