OrderID,OrderDate,CustomerID,ProductID,GeographyID,SalesRepID,ChannelID,Quantity,UnitPrice,Revenue,Cost,GrossProfit,GrossMarginPercent
ORD-0000001,2020-01-13,CUST-0358,PROD-0023,GEO-0008,REP-012,CHN-001,4,13737,54948,24727,30221,55
ORD-0000002,2020-01-28,CUST-0296,PROD-0025,GEO-0016,REP-020,CHN-001,9,6446,58014,26106,31908,55
ORD-0000003,2020-01-09,CUST-0168,PROD-0008,GEO-0010,REP-002,CHN-003,5,52709,263545,100147,163398,62
ORD-0000004,2020-01-21,CUST-0204,PROD-0057,GEO-0005,REP-009,CHN-003,8,2617,20936,7956,12980,62
ORD-0000005,2020-01-12,CUST-0124,PROD-0003,GEO-0010,REP-005,CHN-003,7,42304,296128,112529,183599,62
ORD-0000006,2020-01-24,CUST-0229,PROD-0014,GEO-0017,REP-024,CHN-002,5,9215,46075,23959,22116,48
ORD-0000007,2020-01-17,CUST-0367,PROD-0012,GEO-0004,REP-005,CHN-001,10,11087,110870,49891,60979,55
ORD-0000008,2020-01-02,CUST-0478,PROD-0027,GEO-0002,REP-022,CHN-002,6,30299,181794,94533,87261,48
ORD-0000009,2020-01-25,CUST-0463,PROD-0048,GEO-0006,REP-010,CHN-002,9,14750,132750,69030,63720,48
ORD-0000010,2020-01-17,CUST-0495,PROD-0020,GEO-0016,REP-008,CHN-001,5,4680,23400,10530,12870,55
ORD-0000011,2020-01-28,CUST-0411,PROD-0025,GEO-0007,REP-009,CHN-004,8,7015,56120,30866,25254,45
ORD-0000012,2020-01-08,CUST-0156,PROD-0039,GEO-0019,REP-017,CHN-003,6,13588,81528,30981,50547,62
ORD-0000013,2020-01-15,CUST-0444,PROD-0002,GEO-0016,REP-001,CHN-004,10,4527,45270,24899,20371,45
ORD-0000014,2020-01-26,CUST-0102,PROD-0036,GEO-0013,REP-019,CHN-004,2,112941,225882,124235,101647,45
ORD-0000015,2020-01-16,CUST-0233,PROD-0029,GEO-0005,REP-003,CHN-003,6,22132,132792,50461,82331,62
ORD-0000016,2020-01-13,CUST-0027,PROD-0001,GEO-0009,REP-023,CHN-004,8,17004,136032,74818,61214,45
ORD-0000017,2020-01-09,CUST-0352,PROD-0010,GEO-0011,REP-008,CHN-002,9,32522,292698,152203,140495,48
ORD-0000018,2020-01-07,CUST-0359,PROD-0058,GEO-0002,REP-019,CHN-004,3,17508,52524,28888,23636,45
ORD-0000019,2020-01-22,CUST-0128,PROD-0001,GEO-0010,REP-022,CHN-004,8,42348,338784,186331,152453,45
ORD-0000020,2020-01-11,CUST-0423,PROD-0060,GEO-0001,REP-020,CHN-001,10,12926,129260,58167,71093,55
ORD-0000021,2020-01-07,CUST-0134,PROD-0012,GEO-0005,REP-011,CHN-002,6,7810,46860,24367,22493,48
ORD-0000022,2020-01-12,CUST-0373,PROD-0004,GEO-0001,REP-008,CHN-002,2,60387,120774,62802,57972,48
ORD-0000023,2020-01-07,CUST-0283,PROD-0016,GEO-0007,REP-019,CHN-004,3,10010,30030,16517,13513,45
ORD-0000024,2020-01-11,CUST-0165,PROD-0012,GEO-0019,REP-010,CHN-002,9,11867,106803,55538,51265,48
ORD-0000025,2020-01-29,CUST-0051,PROD-0030,GEO-0013,REP-019,CHN-004,8,3822,30576,16817,13759,45
ORD-0000026,2020-01-10,CUST-0403,PROD-0052,GEO-0018,REP-024,CHN-001,10,4280,42800,19260,23540,55
ORD-0000027,2020-01-05,CUST-0012,PROD-0047,GEO-0006,REP-012,CHN-004,3,43326,129978,71488,58490,45
ORD-0000028,2020-01-11,CUST-0387,PROD-0015,GEO-0015,REP-009,CHN-003,9,31406,282654,107409,175245,62
ORD-0000029,2020-01-30,CUST-0180,PROD-0028,GEO-0001,REP-003,CHN-002,1,176824,176824,91948,84876,48
ORD-0000030,2020-01-04,CUST-0121,PROD-0008,GEO-0011,REP-012,CHN-004,10,4662,46620,25641,20979,45
ORD-0000031,2020-01-01,CUST-0410,PROD-0015,GEO-0012,REP-008,CHN-004,7,20493,143451,78898,64553,45
ORD-0000032,2020-01-17,CUST-0215,PROD-0028,GEO-0014,REP-020,CHN-002,1,138073,138073,71798,66275,48
ORD-0000033,2020-01-17,CUST-0439,PROD-0028,GEO-0019,REP-024,CHN-002,6,11852,71112,36978,34134,48
ORD-0000034,2020-01-05,CUST-0220,PROD-0046,GEO-0012,REP-004,CHN-002,7,18661,130627,67926,62701,48
ORD-0000035,2020-01-14,CUST-0360,PROD-0049,GEO-0013,REP-023,CHN-004,7,2989,20923,11508,9415,45
ORD-0000036,2020-01-28,CUST-0168,PROD-0003,GEO-0012,REP-002,CHN-004,6,53339,320034,176019,144015,45
ORD-0000037,2020-01-15,CUST-0132,PROD-0035,GEO-0007,REP-002,CHN-002,7,15434,108038,56180,51858,48
ORD-0000038,2020-01-07,CUST-0247,PROD-0013,GEO-0008,REP-007,CHN-001,8,6131,49048,22072,26976,55
ORD-0000039,2020-01-26,CUST-0034,PROD-0055,GEO-0016,REP-017,CHN-002,7,2080,14560,7571,6989,48
ORD-0000040,2020-01-23,CUST-0163,PROD-0023,GEO-0003,REP-010,CHN-004,5,26306,131530,72342,59188,45
ORD-0000041,2020-01-08,CUST-0034,PROD-0042,GEO-0018,REP-016,CHN-002,2,22683,45366,23590,21776,48
ORD-0000042,2020-01-03,CUST-0467,PROD-0010,GEO-0017,REP-016,CHN-004,10,4622,46220,25421,20799,45
ORD-0000043,2020-01-26,CUST-0074,PROD-0026,GEO-0010,REP-024,CHN-003,10,19060,190600,72428,118172,62
ORD-0000044,2020-01-17,CUST-0060,PROD-0052,GEO-0011,REP-014,CHN-003,2,8228,16456,6253,10203,62
ORD-0000045,2020-01-24,CUST-0295,PROD-0018,GEO-0015,REP-012,CHN-002,3,9652,28956,15057,13899,48
ORD-0000046,2020-01-03,CUST-0106,PROD-0012,GEO-0014,REP-022,CHN-002,4,12803,51212,26630,24582,48
ORD-0000047,2020-01-18,CUST-0036,PROD-0010,GEO-0014,REP-005,CHN-002,6,17966,107796,56054,51742,48
ORD-0000048,2020-01-16,CUST-0350,PROD-0009,GEO-0018,REP-015,CHN-001,7,43209,302463,136108,166355,55
ORD-0000049,2020-01-07,CUST-0269,PROD-0056,GEO-0019,REP-023,CHN-002,2,9419,18838,9796,9042,48
