L_ORDERKEY,L_PARTKEY,L_SUPPKEY,L_LINENUMBER,L_QUANTITY,L_EXTENDEDPRICE,L_DISCOUNT,L_TAX,L_RETURNFLAG,L_LINESTATUS,L_SHIPDATE,L_COMMITDATE,L_RECEIPTDATE,L_SHIPINSTRUCT,L_SHIPMODE,L_COMMENT
5563818726,142733563,7733592,6,3.00,4768.29,0.01,0.05,"N","O","1996-06-03","1996-05-19","1996-07-02","COLLECT COD","TRUCK"," fluffily "
5563708166,166450490,3950539,4,15.00,21482.55,0.09,0.08,"N","O","1996-06-03","1996-05-14","1996-07-02","NONE","TRUCK","t ironic ideas. furiously ironic sheaves "
5563749410,27209736,4709743,3,33.00,54264.21,0.06,0.01,"N","O","1996-06-03","1996-05-06","1996-06-21","DELIVER IN PERSON","AIR","g the blit"
5563887137,147071396,4571439,2,1.00,1360.04,0.06,0.07,"N","O","1996-06-03","1996-05-13","1996-07-01","DELIVER IN PERSON","FOB","s boost against t"
5563739137,102702059,202090,2,11.00,11615.12,0.09,0.08,"N","O","1996-06-03","1996-04-29","1996-06-09","COLLECT COD","MAIL","nusual packages sle"
5563818215,180179651,2679670,1,43.00,74030.95,0.10,0.02,"N","O","1996-06-03","1996-06-21","1996-06-15","NONE","MAIL","o beans. carefully "
5563919238,168924447,6424496,1,32.00,46816.00,0.08,0.01,"N","O","1996-06-03","1996-07-17","1996-06-05","DELIVER IN PERSON","RAIL"," sauternes! furiously even deposits a"
5563903297,13663117,6163119,2,20.00,21588.60,0.06,0.01,"N","O","1996-06-03","1996-07-10","1996-06-08","TAKE BACK RETURN","MAIL"," even packages. regular,"
5563680227,116882062,1882085,4,37.00,38414.14,0.06,0.00,"N","O","1996-06-03","1996-07-30","1996-06-24","TAKE BACK RETURN","MAIL","urts? blithely"
5563853031,74168741,1668763,1,44.00,79465.76,0.06,0.08,"N","O","1996-06-03","1996-06-21","1996-06-05","TAKE BACK RETURN","MAIL","e slyly ironic pinto beans are"
5563761958,82297119,4797128,5,46.00,51152.00,0.05,0.01,"N","O","1996-06-03","1996-07-29","1996-06-15","COLLECT COD","MAIL","quickly fina"
5563689059,60665600,665601,3,1.00,1562.57,0.02,0.06,"N","O","1996-06-03","1996-08-11","1996-06-17","COLLECT COD","FOB","requests after the furiously regular p"
5563831170,92162572,7162591,6,7.00,11409.79,0.05,0.06,"N","O","1996-06-03","1996-03-31","1996-06-23","TAKE BACK RETURN","RAIL","uctions wake slyly. carefully silent pa"
5563791364,159894406,2394422,4,36.00,50126.76,0.01,0.03,"N","O","1996-06-03","1996-05-17","1996-06-05","NONE","REG AIR"," furiously final deposi"
5563653154,190820350,820351,1,15.00,18912.15,0.05,0.07,"N","O","1996-06-03","1996-05-13","1996-06-15","COLLECT COD","TRUCK","ents use. final "
5563951075,53863480,3863481,2,24.00,34578.96,0.08,0.05,"N","O","1996-06-03","1996-05-26","1996-07-01","TAKE BACK RETURN","TRUCK","riously pendin"
5563576071,155629732,3129778,6,45.00,74427.75,0.06,0.04,"N","O","1996-06-03","1996-06-03","1996-06-11","TAKE BACK RETURN","MAIL","regular deposit"
5563662145,137279026,9779040,4,41.00,40924.56,0.00,0.02,"N","O","1996-06-03","1996-05-03","1996-06-13","NONE","FOB","y unusual decoy"
5563791524,31634248,1634249,3,20.00,23613.20,0.01,0.00,"N","O","1996-06-03","1996-03-11","1996-06-28","TAKE BACK RETURN","REG AIR","e quickly silent requests. furiously"
5563841383,4475024,9475025,1,39.00,38953.20,0.02,0.08,"N","O","1996-06-03","1996-05-20","1996-06-09","DELIVER IN PERSON","MAIL","e ideas wake slyly quickly even pack"
5563677667,52850283,2850284,5,35.00,43072.40,0.01,0.01,"N","O","1996-06-03","1996-08-14","1996-06-27","TAKE BACK RETURN","REG AIR"," regular deposits. packages "
5562869988,117067118,7067119,1,7.00,7554.82,0.02,0.04,"N","O","1996-06-03","1996-08-16","1996-06-05","DELIVER IN PERSON","REG AIR","after the furiously"
5562773411,131257207,6257234,5,21.00,24310.44,0.09,0.04,"N","O","1996-06-03","1996-08-17","1996-07-01","DELIVER IN PERSON","RAIL","ites use furiously. regular foxes across th"
5562703553,45648947,648956,1,19.00,35979.54,0.07,0.03,"N","O","1996-06-03","1996-07-01","1996-06-11","NONE","FOB","s boost quickly f"
5563897571,99466457,1966467,4,22.00,31206.56,0.01,0.02,"N","O","1996-06-03","1996-07-21","1996-06-12","NONE","RAIL","ly carefull"
5563667746,149324203,4324232,1,11.00,13417.14,0.03,0.05,"N","O","1996-06-03","1996-06-26","1996-06-14","TAKE BACK RETURN","AIR","ackages. furiously special foxes sl"
5563731335,184764778,9764815,1,15.00,27503.10,0.06,0.02,"N","O","1996-06-03","1996-06-12","1996-06-19","COLLECT COD","SHIP","ickly theodolites. requests cajole aft"
5563662145,164332557,4332558,3,13.00,20557.42,0.02,0.08,"N","O","1996-06-03","1996-05-24","1996-06-14","NONE","MAIL","en requests. furiously special ac"
5563957477,122441772,9941809,3,44.00,75136.60,0.07,0.06,"N","O","1996-06-03","1996-06-03","1996-06-20","NONE","MAIL","lites along the carefully final request"
5563718978,16690916,6690917,6,47.00,89585.76,0.03,0.02,"N","O","1996-06-03","1996-05-20","1996-06-04","NONE","SHIP","y final accounts sle"
5563824131,71504320,9004342,2,38.00,50188.50,0.03,0.01,"N","O","1996-06-03","1996-07-13","1996-06-15","TAKE BACK RETURN","TRUCK","y special pinto bea"
5562381601,68136065,3136078,2,32.00,35125.12,0.07,0.07,"N","O","1996-06-03","1996-05-21","1996-06-15","DELIVER IN PERSON","RAIL","s. blithely ironic dugouts sleep regula"
5563996866,59036671,1536677,1,27.00,43327.44,0.00,0.06,"N","O","1996-06-03","1996-04-21","1996-06-21","DELIVER IN PERSON","REG AIR","ilent theodolit"
5563793188,165771745,3271794,2,1.00,1808.46,0.09,0.00,"N","O","1996-06-03","1996-04-25","1996-07-02","DELIVER IN PERSON","TRUCK","ven requests. accoun"
5563639970,76568033,9068041,2,21.00,23041.41,0.03,0.07,"N","O","1996-06-03","1996-04-16","1996-06-06","COLLECT COD","RAIL","es. ironic pinto beans cajole furiously"
5562703586,138770651,8770652,3,19.00,32579.68,0.06,0.07,"N","O","1996-06-03","1996-07-16","1996-06-11","TAKE BACK RETURN","SHIP","efully final asymptotes wake accoun"
5563914087,58002371,502377,4,35.00,51466.80,0.04,0.04,"N","O","1996-06-03","1996-05-11","1996-06-18","DELIVER IN PERSON","MAIL","s cajole slyly. carefully unusu"
5563730180,165638038,8138055,1,23.00,22258.25,0.02,0.00,"N","O","1996-06-03","1996-06-16","1996-06-15","COLLECT COD","TRUCK"," furiously regular deposit"
5563047008,123057081,8057106,3,26.00,26830.18,0.09,0.06,"N","O","1996-06-03","1996-06-05","1996-06-25","TAKE BACK RETURN","FOB"," the fluffily ironic instructions. blit"
5562754241,37530389,30393,1,40.00,56700.40,0.05,0.04,"N","O","1996-06-03","1996-03-16","1996-07-01","NONE","FOB","ronic ideas. slyly regula"
5562743139,193870062,3870063,4,35.00,35782.95,0.02,0.05,"N","O","1996-06-03","1996-07-06","1996-06-16","DELIVER IN PERSON","SHIP","uffily ironic deposits engage quickly blit"
5562807492,186081068,3581123,4,35.00,36391.60,0.08,0.01,"N","O","1996-06-03","1996-04-28","1996-06-10","TAKE BACK RETURN","RAIL","re blithely"
5563667044,74750710,9750725,1,49.00,86092.02,0.05,0.00,"N","O","1996-06-03","1996-04-29","1996-06-08","COLLECT COD","RAIL","g, special pac"
5563629249,18290074,3290077,1,21.00,22326.36,0.05,0.06,"N","O","1996-06-03","1996-05-03","1996-06-19","NONE","AIR","tes hang quickly a"
5563680647,89149384,1649393,5,20.00,28578.60,0.10,0.06,"N","O","1996-06-03","1996-07-10","1996-06-23","TAKE BACK RETURN","REG AIR","f the bold requests. bold reques"
5563646496,89969589,9969590,1,48.00,79396.32,0.10,0.04,"N","O","1996-06-03","1996-04-09","1996-06-19","NONE","SHIP","tes. express requests at th"
5562662599,153713003,6213019,6,41.00,41341.12,0.04,0.05,"N","O","1996-06-03","1996-07-10","1996-06-09","COLLECT COD","RAIL","thely carefully pendi"
5562683527,33224807,724817,1,17.00,29412.38,0.00,0.08,"N","O","1996-06-03","1996-06-21","1996-06-24","DELIVER IN PERSON","RAIL","e. bold frets haggle slyly. blithely ev"
5562786372,93644820,8644839,5,40.00,70405.60,0.01,0.08,"N","O","1996-06-03","1996-04-17","1996-06-04","COLLECT COD","FOB","d final de"
5562638115,93217620,3217621,5,38.00,58252.48,0.05,0.07,"N","O","1996-06-03","1996-07-18","1996-06-09","DELIVER IN PERSON","AIR","accounts wake ironic req"
5562606790,47687950,7687951,4,18.00,34840.26,0.10,0.08,"N","O","1996-06-03","1996-07-08","1996-06-14","NONE","REG AIR","eposits into "
5562881156,156435664,1435695,1,17.00,27061.28,0.01,0.06,"N","O","1996-06-03","1996-05-14","1996-06-24","DELIVER IN PERSON","TRUCK","fully carefully silent r"
